name,artist,positive,neutral,negative,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kilka Prostych Prawd,Patrycja Markowska,0,1,0,6ZdmY1NS6Bt53NSSj0JOuo,0.463,0.467,6,-6.363,1,0.0301,0.245,0,0.109,0.366,155.976
Impossible Brutality,Kreator,0,0,2,4CvExRLsae8ElNP9OCz5f0,0.56,0.961,10,-5.407,0,0.0571,3.39e-05,0.335,0.127,0.495,116.03
White Chords,These New Puritans,0,0,1,5kobs0xKMJ8VYfaJeD9T7D,0.546,0.603,1,-9.061,0,0.0437,0.000196,0.789,0.274,0.788,128.936
Crazy,Aerosmith,1,0,0,2rxQMGVafnNaRaXlRMWPde,0.551,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313
Strung Out Again,Elliott Smith,0,0,1,4o7JJrJnmcRgcnbmWGlXDo,0.453,0.362,9,-10.028,0,0.0302,0.0628,0,0.152,0.212,122.524
The End of a Love Affair,Stina Nordenstam,0,0,1,7K0RtjPEyD4djyUJUQUiNG,0.576,0.328,5,-10.995,1,0.0367,0.95,0.795,0.106,0.231,117.239
Bedshaped,Keane,0,3,1,1BoAUj2LKTvgIfi7wjAAQa,0.332,0.41,4,-6.988,1,0.0344,0.609,0.00014,0.0963,0.0715,75.042
The Perfect Sun,Supreme & Sunset Regime Feat. Rachael Waldon,1,0,0,6JT3dTww2LuGrtze7j5jw9,0.333,0.592,0,-9.885,1,0.03,7.46e-05,0.481,0.0765,0.405,132.223
Creep live Version,Maximilian Hecker,0,0,1,7DFNsZYear52v9zE5FZueP,0.503,0.437,2,-6.658,1,0.0394,0.777,5.9e-05,0.169,0.329,97.049
C'est La Vie,Vanessa Carlton,0,1,0,0cwndTAAq4sTqnP0GuDoUU,0.623,0.915,3,-5.349,1,0.0413,0.0167,0,0.361,0.838,129.961
Everyday,Phil Collins,0,1,1,2N3U8uTYhjX2KwGT0pf5x0,0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818
Collide,Howie Day,0,4,1,6aF5JtQSrh7wNrkDE9B0My,0.56,0.903,11,-4.77,1,0.0754,0.00132,0,0.291,0.581,143.821
Love's Theme,Love Unlimited Orchestra,0,2,0,28UMiBhn383n9S7GL4tsxD,0.615,0.467,1,-9.883,1,0.0327,0.314,0,0.099,0.177,119.919
Love Letter to Japan,The Bird And The Bee,1,2,0,6BPH36SnzhPIYxOYVchQQR,0.771,0.693,6,-10.425,1,0.0359,0.159,1.24e-06,0.0935,0.749,120.073
Killer,Seal,1,0,1,7zl7kehxesNEo2pYkKXTSe,0.924,0.73,11,-6.125,0,0.274,0.0525,0,0.113,0.848,99.01
Early Till Late,Cantoma,0,3,1,1flPG52pbbHfrkUY0jJ5iS,0.328,0.0709,9,-21.161,0,0.0484,0.985,0.876,0.108,0.0504,73.667
Rostro,Murcof,0,1,0,7bqy269h1OBDKPd9gtAELI,0.851,0.813,7,-4.723,1,0.0686,0.458,6.68e-05,0.185,0.907,118.312
Do You Believe in Love,Huey Lewis & The News,3,0,0,43LjRHyyetSWnPpW7CWThG,0.547,0.636,11,-10.948,1,0.0314,0.0582,0,0.249,0.816,114.061
God In My Bed,K's Choice,0,1,0,39pzRJyT05eufvYSBk66p3,0.362,0.0867,1,-17.625,1,0.0328,0.759,0.381,0.11,0.163,143.668
Robbing the Grave,Autopsy,0,0,1,2e5o3rX5oMFGjE8uUBrz8B,0.36,0.991,7,-6.289,1,0.32,0.00452,0.00144,0.265,0.189,104.618
On The Verge Of Something Wonderful,Darren Hayes,1,0,0,6VqizCs6cvrOHmBPWBSUUB,0.6,0.893,9,-4.617,1,0.0333,0.0138,0,0.258,0.435,119.018
Mykel And Carli,Weezer,0,0,1,3oJXazQ6s9b4tHVxIar72R,0.626,0.265,7,-7.613,1,0.0294,0.793,0.204,0.276,0.713,99.281
Lost,Roger Sanchez,1,0,0,2xdwCJLfKCkat14mlgR26M,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051
Windmills of Your Mind,Sting,1,3,0,6MUHAvKGAmKXojn8wdFB71,0.281,0.276,0,-11.752,0,0.038,0.51,0,0.135,0.238,154.097
You've Got to Hide Your Love Away,The Beatles,0,0,2,23VtGqyVaByXxOvU1jTgqb,0.28,0.324,7,-11.233,1,0.0303,0.58,0,0.691,0.562,183.733
Hey Love,Nikka Costa,0,0,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526
The Day After Tomorrow,Saybia,0,0,1,72Owvuv0j0f6kGHYQOhxu1,0.196,0.21,0,-20.472,1,0.0343,0.774,0.892,0.0914,0.0367,110.203
Chi Mai,Nightmares On Wax,0,1,0,2asIUjALYhUbH8hvLUhDWo,0.775,0.496,10,-5.652,1,0.0354,0.0393,0,0.526,0.204,95.072
Walking The Dog,Rufus Thomas,1,0,0,50g0it8QsUikGOHTEOaNXC,0.763,0.631,2,-6.424,1,0.0652,0.0436,0,0.425,0.839,108.515
Moonshield,In Flames,0,1,0,3gqdwcfzDsJvuPQ8oSZCxq,0.203,0.778,5,-9.02,0,0.0401,0.000299,0.851,0.473,0.495,177.404
Latin Flute,Deodato,0,1,0,0jyIdeuziEtMenGqChgOVV,0.529,0.555,5,-9.918,0,0.0339,0.674,0.89,0.11,0.785,132.357
The Flavor Of The Night,Itchy Poopzkid,0,1,0,0dS9noffRQo4XVQjisimxx,0.364,0.00123,6,-37.278,1,0.0582,0.996,0.973,0.108,0,70.967
Soul To Feet,Kathryn Williams,0,1,0,5Ag5q78SCqPrl88fIIazQD,0.486,0.55,3,-8.492,1,0.0798,0.874,0,0.102,0.746,164.819
20 Minutes / 40 Years,Isis,0,1,0,0IqVmhqzvACJ3Yiv0FhJam,0.317,0.721,6,-6.972,0,0.0338,0.000262,0.885,0.0745,0.151,120.472
Bienvenue au pays,Jacqueline Taïeb,1,0,0,1eTyH6Pq3dEtX0wBgu8ou7,0.458,0.76,4,-4.395,0,0.103,0.0448,0.00456,0.135,0.373,160.519
Fake It,Seether,1,0,0,4eAwB5pnKFTmsgc3zWoYO0,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078
Dazz,Brick,1,0,0,5gQCUf4lfy6GpuhdPzxQ6B,0.722,0.778,4,-7.931,1,0.0611,0.0697,7.46e-06,0.0414,0.839,109.076
My Time,Ocean Colour Scene,0,1,0,31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
Temptation,Moby,0,4,1,3gJDgenxLephg09x86IxPs,0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979
Nothing To Worry About,Peter Bjorn And John,2,0,0,4vwQ2K9expPsML6WaZ8EFS,0.718,0.632,0,-6.728,1,0.134,0.199,0,0.0611,0.638,95.117
1000 Miles Apart,Downhere,0,0,1,4MW8WVXAX8kR1g0WiNZVfb,0.574,0.316,7,-10.398,1,0.03,0.669,0.17,0.0803,0.431,146.964
Cheer,Descendents,1,0,0,023OVLNzXhX0j7CxswUt6D,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026
Lila's Dance,Mahavishnu Orchestra,0,1,0,6I9g8UsCK6V8rg3IzsyJQw,0.33,0.726,2,-9.033,1,0.0779,0.04,0.325,0.204,0.501,141.873
Heaven And Hell (Part II),Vangelis,0,1,0,34uCqgUKLqo4WZFP1UMXCQ,0.284,0.195,2,-14.794,1,0.033,0.000395,0.385,0.229,0.142,138.512
Medication,Garbage,0,0,2,5qdQPrWmZv8xYhMJCDrdHF,0.621,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075
Spring Haze,Tori Amos,0,0,2,2l1KKSv7s6FGEJpuoPKgsG,0.413,0.465,5,-11.898,0,0.0456,0.362,0.00379,0.0865,0.35,156.906
Amazing,George Michael,0,1,0,0m3Ze0cy8qBHSsV2exAfCw,0.588,0.554,8,-8.406,1,0.0545,0.216,0.118,0.0619,0.496,146.133
Sadness,Mavado,0,0,1,6hakZ7rz2tX1HL7dTylM2h,0.559,0.674,1,-6.125,0,0.0329,0.0312,0,0.121,0.197,111.976
If You Can't Say No,Lenny Kravitz,0,3,0,5J221XVh7Kxg2bC4IWQ19n,0.607,0.428,0,-7.827,1,0.189,0.159,4.25e-05,0.101,0.504,77.146
Not Big,Lily Allen,1,0,0,3GKL13lkM5nRc4zC1lIOrR,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121
Tanto non mi cambi,Povia,0,1,0,3I78j36TOxq0YPkuggFPKy,0.334,0.149,0,-19.217,0,0.0434,0.852,0.0842,0.355,0.193,118.298
The Way We Were,Richard Clayderman,0,1,0,1vZTgn4JXWMahR8r99ug5H,0.264,0.32,9,-11.716,1,0.0325,0.885,0.00141,0.134,0.171,138.108
Emotionally Yours,Bob Dylan,0,0,1,39seDNDfTOVEReqnJASkkm,0.432,0.835,3,-8.222,1,0.0997,0.32,0,0.983,0.354,74.742
Times Like These,Jack Johnson,0,4,0,67vYdAAM3oGsEImCRfbtsF,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581
Sinkin' Soon,Norah Jones,1,0,0,3zjM3l6tM50gSNNBJ7zdAa,0.76,0.244,4,-11.312,0,0.0457,0.775,6.48e-05,0.0738,0.48,91.976
The Happening,The Supremes,1,0,0,29iepR0ydOuYFaZp8um6H8,0.83,0.871,0,-3.089,1,0.152,0.017,0.000771,0.106,0.784,139.968
Who Let In The Rain,Cyndi Lauper,0,1,2,13rrhhXU2sL1CR1R4uUEwh,0.77,0.295,10,-12.311,1,0.0319,0.547,0.00628,0.142,0.435,105.72
Existence,Bugge Wesseltoft,0,1,0,7gCuKTyBb5nurNalzs0Hvp,0.487,0.669,9,-6.473,1,0.232,0.0145,0.00349,0.102,0.0573,172.026
Ordinary World,Red,0,0,1,0wokCRaKD0zPNhMRXAgVsr,0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12e-05,0.14,0.401,140.124
Cat Among The Pigeons,Bros,0,0,1,7J5peRp5Dos6ApW6PWruPt,0.507,0.543,0,-11.978,1,0.0283,0.0187,6.95e-05,0.129,0.54,90.048
Everybody's Gonna Be Happy,Queens Of The Stone Age,1,0,0,2Y2GnaluDtsToyPMsfwRMa,0.761,0.779,7,-4.774,1,0.0341,0.723,0,0.233,0.948,112.985
If You're Not The One,Daniel Bedingfield,0,2,1,1C5utO1I8FoSIn6g1R5DAZ,0.64,0.628,2,-6.091,1,0.0324,0.0157,0.0382,0.0916,0.235,125.648
Pretending,HIM,0,2,1,0Hl9UVyRjxp8Une9PADf5H,0.391,0.228,8,-17.74,1,0.0427,0.98,0.851,0.116,0.107,139.691
Abegail Anne,Jeremy Enigk,0,0,1,7IwgGpaiWtqbe36pBfJbjJ,0.351,0.388,4,-5.584,1,0.0331,0.382,0.0163,0.101,0.23,154.31
Tape Loop,Morcheeba,1,0,0,7MskN2v3epm2MCxGxfD10G,0.719,0.68,11,-13.544,1,0.0566,0.0958,0.642,0.078,0.795,92.969
Everything in Its Right Place,Radiohead,0,0,1,2kRFrWaLWiKq48YYVdGcm8,0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943
Better Life,3 Doors Down,0,1,0,7k8r0qWmBHPsEgpQP9kDFB,0.571,0.863,0,-5.921,1,0.0743,0.0811,8.47e-05,0.176,0.396,97.026
Unwanted,Avril Lavigne,0,0,1,4jNWDjdI1LeXkcBtWxEOBP,0.683,0.254,3,-15.175,1,0.0722,0.553,0.881,0.589,0.253,114.924
A Taste of Honey,The Beatles,1,1,0,2XmLd81D7jT8Ell9lmvApe,0.552,0.423,5,-11.109,0,0.0365,0.771,0.881,0.111,0.495,80.871
Precious,Depeche Mode,0,1,1,31SBMFpLi1x0KNlGenfnQ1,0.42,0.725,0,-3.518,1,0.038,0.0956,0,0.16,0.534,86.428
